user_id,signup_date,user_segment,device_os
USR_000001,2025-01-20,Family/Group,iOS
USR_000002,2025-04-19,Solo Explorer,Android
USR_000003,2025-03-09,Family/Group,iOS
USR_000004,2025-03-14,Solo Explorer,Android
USR_000005,2025-01-21,Solo Explorer,Android
USR_000006,2025-11-22,Family/Group,Android
USR_000007,2025-08-05,Solo Explorer,Android
USR_000008,2025-05-05,Business,iOS
USR_000009,2025-05-01,Solo Explorer,Android
USR_000010,2025-09-19,Business,Android
USR_000011,2025-03-17,Solo Explorer,iOS
USR_000012,2025-07-25,Business,Android
USR_000013,2026-02-21,Family/Group,Android
USR_000014,2025-10-22,Business,Android
USR_000015,2025-10-08,Family/Group,Android
USR_000016,2025-02-05,Family/Group,Android
USR_000017,2025-03-03,Business,Android
USR_000018,2025-10-23,Business,iOS
USR_000019,2025-10-11,Solo Explorer,Android
USR_000020,2025-06-12,Solo Explorer,iOS
USR_000021,2025-02-25,Family/Group,Android
USR_000022,2025-07-10,Solo Explorer,Android
USR_000023,2025-07-29,Solo Explorer,Android
USR_000024,2025-02-13,Family/Group,Android
USR_000025,2025-09-03,Business,iOS
USR_000026,2025-06-13,Solo Explorer,iOS
USR_000027,2026-01-23,Solo Explorer,iOS
USR_000028,2025-12-23,Business,Android
USR_000029,2025-07-11,Solo Explorer,iOS
USR_000030,2025-11-29,Family/Group,iOS
USR_000031,2025-04-18,Solo Explorer,iOS
USR_000032,2025-02-06,Solo Explorer,Android
USR_000033,2025-05-05,Solo Explorer,iOS
USR_000034,2025-10-26,Family/Group,iOS
USR_000035,2025-12-30,Family/Group,iOS
USR_000036,2025-01-09,Business,Android
USR_000037,2026-02-22,Family/Group,iOS
USR_000038,2025-09-22,Business,Android
USR_000039,2025-05-03,Solo Explorer,iOS
USR_000040,2025-07-24,Solo Explorer,Android
USR_000041,2025-03-24,Solo Explorer,iOS
USR_000042,2026-01-30,Business,Android
USR_000043,2025-05-06,Solo Explorer,Android
USR_000044,2026-01-15,Family/Group,Android
USR_000045,2025-10-09,Solo Explorer,iOS
USR_000046,2025-07-07,Solo Explorer,Android
USR_000047,2026-01-13,Solo Explorer,Android
USR_000048,2026-02-18,Business,Android
USR_000049,2026-01-05,Solo Explorer,Android
USR_000050,2025-11-25,Solo Explorer,Android
USR_000051,2025-06-06,Business,iOS
USR_000052,2025-10-18,Solo Explorer,iOS
USR_000053,2025-12-17,Business,Android
USR_000054,2025-02-19,Solo Explorer,iOS
USR_000055,2025-06-28,Solo Explorer,Android
USR_000056,2025-02-15,Solo Explorer,Android
USR_000057,2025-01-25,Solo Explorer,iOS
USR_000058,2025-07-04,Solo Explorer,iOS
USR_000059,2025-06-16,Family/Group,Android
USR_000060,2026-01-03,Family/Group,Android
USR_000061,2025-11-13,Business,Android
USR_000062,2025-12-01,Solo Explorer,iOS
USR_000063,2025-12-29,Solo Explorer,Android
USR_000064,2025-03-18,Family/Group,Android
USR_000065,2025-09-21,Solo Explorer,Android
USR_000066,2025-05-28,Solo Explorer,iOS
USR_000067,2025-05-23,Solo Explorer,iOS
USR_000068,2025-02-28,Solo Explorer,iOS
USR_000069,2025-03-18,Business,Android
USR_000070,2026-02-24,Family/Group,Android
USR_000071,2025-07-03,Business,Android
USR_000072,2026-01-09,Solo Explorer,Android
USR_000073,2025-02-15,Business,Android
USR_000074,2025-10-31,Solo Explorer,iOS
USR_000075,2025-12-20,Business,iOS
USR_000076,2026-01-14,Solo Explorer,Android
USR_000077,2025-06-19,Solo Explorer,Android
USR_000078,2026-02-26,Family/Group,Android
USR_000079,2025-02-14,Family/Group,Android
USR_000080,2026-01-26,Family/Group,Android
USR_000081,2026-01-30,Solo Explorer,Android
USR_000082,2025-02-23,Business,Android
USR_000083,2025-07-02,Family/Group,iOS
USR_000084,2025-07-11,Solo Explorer,Android
USR_000085,2025-11-22,Family/Group,iOS
USR_000086,2025-06-08,Business,iOS
