booking_id,user_id,flight_booking_value,hotel_booking_value,is_cross_sell_attached,booking_type,booking_timestamp
BKG_000001,USR_000001,9138.37,,False,initial,2026-01-19 04:26:42
BKG_000002,USR_000001,2784.62,,False,initial,2026-01-18 09:02:19
BKG_000003,USR_000003,10049.55,,False,initial,2026-06-23 16:10:48
BKG_000004,USR_000004,5228.25,,False,initial,2026-02-26 07:16:13
BKG_000005,USR_000004,6954.31,,False,initial,2026-04-12 10:20:53
BKG_000006,USR_000005,3342.54,,False,initial,2026-04-01 18:10:07
BKG_000007,USR_000005,7360.98,,False,initial,2026-05-21 13:58:53
BKG_000008,USR_000006,3003.85,,False,initial,2026-03-13 18:59:13
BKG_000009,USR_000006,9837.48,,False,initial,2026-02-10 09:21:40
BKG_000010,USR_000007,7398.8,,False,initial,2026-05-24 10:08:18
BKG_000011,USR_000007,8381.21,,False,initial,2026-03-15 10:23:02
BKG_000012,USR_000007,10854.74,,False,initial,2026-02-27 07:57:13
BKG_000013,USR_000008,10309.35,6145.32,True,initial,2026-01-26 08:37:20
BKG_000014,USR_000008,9992.26,,False,initial,2026-05-03 16:11:11
BKG_000015,USR_000011,11206.62,,False,initial,2026-06-11 12:34:05
BKG_000016,USR_000011,10163.7,,False,initial,2026-02-10 14:08:04
BKG_000017,USR_000012,4790.42,,False,initial,2026-01-18 12:02:56
BKG_000018,USR_000012,10620.73,,False,initial,2026-01-18 18:27:31
BKG_000019,USR_000013,2601.38,,False,initial,2026-03-05 14:14:09
BKG_000020,USR_000014,4821.67,,False,initial,2026-01-06 17:15:20
BKG_000021,USR_000014,11208.39,,False,initial,2026-03-15 06:52:14
BKG_000022,USR_000014,10180.88,,False,initial,2026-06-21 08:03:43
BKG_000023,USR_000014,8072.29,,False,initial,2026-06-19 02:39:57
BKG_000024,USR_000015,4781.35,,False,initial,2026-03-21 02:25:28
BKG_000025,USR_000015,8489.54,,False,initial,2026-02-27 02:17:55
BKG_000026,USR_000016,6551.9,13081.71,True,initial,2026-03-07 13:04:33
BKG_000027,USR_000016,6169.7,,False,initial,2026-01-11 18:20:27
BKG_000028,USR_000018,10550.6,7805.92,True,initial,2026-02-19 08:33:04
BKG_000029,USR_000018,3600.37,,False,initial,2026-04-20 00:26:40
BKG_000030,USR_000019,2938.15,,False,initial,2026-06-01 12:39:49
BKG_000031,USR_000019,7320.29,,False,initial,2026-02-15 09:32:31
BKG_000032,USR_000020,9782.97,,False,initial,2026-03-30 00:05:09
BKG_000033,USR_000021,3895.85,,False,initial,2026-06-11 05:50:43
BKG_000034,USR_000021,11556.24,,False,initial,2026-04-20 19:08:29
BKG_000035,USR_000022,6374.28,,False,initial,2026-06-06 17:29:12
BKG_000036,USR_000023,4152.19,,False,initial,2026-03-19 07:14:07
BKG_000037,USR_000023,8676.8,,False,initial,2026-02-11 22:45:55
BKG_000038,USR_000024,3388.23,,False,initial,2026-06-25 05:17:58
BKG_000039,USR_000025,9781.66,,False,initial,2026-04-22 06:29:09
BKG_000040,USR_000025,4785.71,,False,initial,2026-06-06 18:23:33
BKG_000041,USR_000026,3609.45,,False,initial,2026-01-01 04:53:31
BKG_000042,USR_000027,8483.69,,False,initial,2026-06-15 22:19:28
BKG_000043,USR_000027,8599.7,,False,initial,2026-01-15 05:29:48
BKG_000044,USR_000028,8878.24,,False,initial,2026-04-27 07:10:36
BKG_000045,USR_000030,4705.07,14215.52,True,initial,2026-02-21 04:38:46
BKG_000046,USR_000030,10570.68,,False,initial,2026-03-03 00:44:43
BKG_000047,USR_000030,3757.38,,False,initial,2026-06-24 14:33:28
BKG_000048,USR_000031,5013.69,,False,initial,2026-04-22 08:44:13
BKG_000049,USR_000032,5205.23,,False,initial,2026-01-28 08:39:49
BKG_000050,USR_000034,8571.09,,False,initial,2026-05-24 21:09:15
BKG_000051,USR_000035,10828.11,,False,initial,2026-05-14 08:57:23
BKG_000052,USR_000035,6326.42,,False,initial,2026-06-14 16:55:15
BKG_000053,USR_000036,3318.8,,False,initial,2026-03-15 01:16:53
BKG_000054,USR_000036,7909.6,,False,initial,2026-03-18 09:38:31
BKG_000055,USR_000038,8659.52,,False,initial,2026-05-15 08:28:25
BKG_000056,USR_000039,6209.71,,False,initial,2026-05-26 21:13:34
BKG_000057,USR_000041,7305.15,,False,initial,2026-05-02 22:23:54
BKG_000058,USR_000042,6286.64,,False,initial,2026-01-30 21:34:50
BKG_000059,USR_000043,4171.12,11830.91,True,initial,2026-03-17 18:39:05
BKG_000060,USR_000043,4363.02,,False,initial,2026-06-15 13:12:07
BKG_000061,USR_000043,10000.58,,False,initial,2026-03-10 13:31:31
BKG_000062,USR_000044,4976.92,,False,initial,2026-02-13 03:51:49
BKG_000063,USR_000045,6007.7,2820.74,True,initial,2026-05-15 21:34:35
BKG_000064,USR_000046,5412.88,,False,initial,2026-06-15 02:12:24
BKG_000065,USR_000047,5056.77,,False,initial,2026-01-22 23:53:08
BKG_000066,USR_000048,4421.82,,False,initial,2026-06-12 20:23:09
BKG_000067,USR_000051,8349.33,,False,initial,2026-05-05 22:35:05
BKG_000068,USR_000051,3732.87,,False,initial,2026-01-24 17:06:30
BKG_000069,USR_000052,6452.79,,False,initial,2026-04-13 07:21:13
BKG_000070,USR_000052,7642.82,,False,initial,2026-03-29 08:39:30
BKG_000071,USR_000057,8978.95,,False,initial,2026-06-18 15:46:02
BKG_000072,USR_000057,3868.69,,False,initial,2026-02-25 03:40:50
BKG_000073,USR_000057,3732.5,,False,initial,2026-06-15 03:12:52
BKG_000074,USR_000059,10847.31,,False,initial,2026-04-16 12:29:47
BKG_000075,USR_000060,4992.71,,False,initial,2026-05-02 17:58:17
BKG_000076,USR_000060,4180.94,,False,initial,2026-02-01 03:02:24
BKG_000077,USR_000061,6099.64,,False,initial,2026-03-09 23:49:37
BKG_000078,USR_000062,9430.78,,False,initial,2026-01-07 08:40:50
BKG_000079,USR_000062,9031.09,,False,initial,2026-03-18 05:33:42
BKG_000080,USR_000063,10874.81,,False,initial,2026-06-29 20:19:43
BKG_000081,USR_000064,9998.84,,False,initial,2026-05-08 15:21:36
BKG_000082,USR_000065,10986.08,,False,initial,2026-01-04 19:29:27
BKG_000083,USR_000066,9717.58,,False,initial,2026-06-14 16:13:17
BKG_000084,USR_000067,7705.81,,False,initial,2026-04-11 18:36:30
BKG_000085,USR_000067,5818.47,,False,initial,2026-02-21 12:57:29
BKG_000086,USR_000067,4418.95,,False,initial,2026-02-10 21:42:02
BKG_000087,USR_000069,8808.08,,False,initial,2026-04-21 19:09:52
BKG_000088,USR_000070,3285.15,,False,initial,2026-02-08 15:20:33
BKG_000089,USR_000071,4468.83,,False,initial,2026-04-08 01:44:27
BKG_000090,USR_000071,6325.61,4118.78,True,initial,2026-01-23 22:42:20
BKG_000091,USR_000073,6825.76,,False,initial,2026-05-01 23:41:09
BKG_000092,USR_000074,11258.33,,False,initial,2026-02-24 18:45:29
BKG_000093,USR_000075,11948.39,,False,initial,2026-01-30 03:56:51
BKG_000094,USR_000077,3627.18,,False,initial,2026-05-10 12:45:53
BKG_000095,USR_000078,4963.89,,False,initial,2026-03-24 07:38:26
BKG_000096,USR_000079,8335.39,,False,initial,2026-05-25 05:23:42
BKG_000097,USR_000080,5752.71,,False,initial,2026-01-05 08:30:00
BKG_000098,USR_000082,3684.6,,False,initial,2026-05-05 16:26:40
BKG_000099,USR_000085,2867.94,,False,initial,2026-06-13 10:29:28
BKG_000100,USR_000086,6526.15,,False,initial,2026-06-27 00:00:53
BKG_000101,USR_000088,9190.89,,False,initial,2026-03-28 23:00:06
BKG_000102,USR_000088,10223.47,,False,initial,2026-04-01 00:08:30
BKG_000103,USR_000089,6633.41,6861.67,True,initial,2026-04-14 01:34:50
BKG_000104,USR_000090,5670.75,,False,initial,2026-05-12 08:26:40
BKG_000105,USR_000091,2680.32,,False,initial,2026-03-26 20:13:36
BKG_000106,USR_000091,10053.48,,False,initial,2026-01-12 04:38:46
BKG_000107,USR_000091,10295.2,,False,initial,2026-01-10 20:09:30
BKG_000108,USR_000092,8300.3,,False,initial,2026-05-16 22:16:41
BKG_000109,USR_000094,6131.1,,False,initial,2026-04-28 17:14:23
BKG_000110,USR_000095,5223.22,,False,initial,2026-02-26 20:09:22
BKG_000111,USR_000095,9501.2,,False,initial,2026-01-10 13:09:31
BKG_000112,USR_000096,3136.46,,False,initial,2026-05-11 01:18:30
BKG_000113,USR_000096,3021.76,,False,initial,2026-01-28 02:50:38
BKG_000114,USR_000097,11057.91,,False,initial,2026-06-05 05:04:33
BKG_000115,USR_000097,11314.13,,False,initial,2026-06-24 06:47:19
BKG_000116,USR_000099,7621.45,,False,initial,2026-04-10 15:39:50
BKG_000117,USR_000101,7353.53,,False,initial,2026-02-06 16:41:16
BKG_000118,USR_000102,8094.0,,False,initial,2026-04-27 12:12:40
BKG_000119,USR_000104,8904.83,,False,initial,2026-04-23 19:59:18
BKG_000120,USR_000105,10433.32,,False,initial,2026-05-08 21:57:37
BKG_000121,USR_000105,6717.49,,False,initial,2026-03-15 02:15:11
BKG_000122,USR_000106,10342.44,,False,initial,2026-03-07 15:32:39
BKG_000123,USR_000107,7578.91,,False,initial,2026-04-16 09:11:27
BKG_000124,USR_000108,8218.45,,False,initial,2026-04-08 11:05:54
BKG_000125,USR_000108,5898.6,,False,initial,2026-01-14 06:08:04
BKG_000126,USR_000110,9629.53,,False,initial,2026-02-19 10:23:51
BKG_000127,USR_000111,2768.42,,False,initial,2026-02-20 22:13:36
BKG_000128,USR_000112,10729.84,,False,initial,2026-04-11 04:05:33
BKG_000129,USR_000114,9139.37,,False,initial,2026-06-28 11:46:39
BKG_000130,USR_000114,5609.6,,False,initial,2026-04-23 23:36:34
BKG_000131,USR_000115,11949.5,,False,initial,2026-03-02 21:52:31
BKG_000132,USR_000116,4467.84,,False,initial,2026-01-23 00:51:43
BKG_000133,USR_000117,2966.94,,False,initial,2026-03-21 18:44:05
BKG_000134,USR_000119,5490.1,,False,initial,2026-02-23 05:14:02
BKG_000135,USR_000119,9796.05,,False,initial,2026-06-18 00:25:24
BKG_000136,USR_000120,10820.91,,False,initial,2026-02-07 08:29:29
BKG_000137,USR_000120,4674.57,,False,initial,2026-02-05 19:27:06
BKG_000138,USR_000120,11651.15,,False,initial,2026-01-11 10:39:20
BKG_000139,USR_000121,2763.61,,False,initial,2026-03-25 03:56:21
BKG_000140,USR_000121,11937.05,,False,initial,2026-01-16 08:53:11
BKG_000141,USR_000121,4360.9,,False,initial,2026-01-02 04:55:04
BKG_000142,USR_000124,5750.43,,False,initial,2026-05-05 00:47:50
BKG_000143,USR_000125,5209.47,,False,initial,2026-03-12 07:38:41
BKG_000144,USR_000125,5211.93,9215.84,True,initial,2026-04-01 17:54:18
BKG_000145,USR_000126,9008.29,,False,initial,2026-02-10 01:51:03
BKG_000146,USR_000127,11642.0,,False,initial,2026-06-24 08:06:05
BKG_000147,USR_000127,5034.27,,False,initial,2026-06-10 13:09:30
BKG_000148,USR_000127,7389.67,,False,initial,2026-06-23 13:35:58
BKG_000149,USR_000128,5149.11,,False,initial,2026-03-18 23:21:25
BKG_000150,USR_000128,8226.29,,False,initial,2026-02-19 10:15:31
BKG_000151,USR_000129,7597.99,,False,initial,2026-05-17 19:57:57
BKG_000152,USR_000131,8969.73,,False,initial,2026-04-27 07:18:43
BKG_000153,USR_000132,2785.79,,False,initial,2026-04-26 01:11:03
BKG_000154,USR_000133,2925.43,,False,initial,2026-02-03 11:45:13
BKG_000155,USR_000133,6882.44,,False,initial,2026-01-23 17:29:00
BKG_000156,USR_000134,3656.18,,False,initial,2026-01-09 19:43:29
BKG_000157,USR_000135,8673.82,,False,initial,2026-06-08 19:51:48
BKG_000158,USR_000135,4352.38,,False,initial,2026-05-05 12:26:27
BKG_000159,USR_000137,11201.99,,False,initial,2026-01-07 19:01:08
BKG_000160,USR_000138,5052.39,,False,initial,2026-03-26 23:38:37
BKG_000161,USR_000140,7466.53,,False,initial,2026-01-01 07:37:22
BKG_000162,USR_000141,4013.4,,False,initial,2026-05-31 03:00:01
BKG_000163,USR_000142,6988.55,,False,initial,2026-06-02 10:20:12
BKG_000164,USR_000145,6818.25,,False,initial,2026-06-24 03:49:16
BKG_000165,USR_000145,9730.0,,False,initial,2026-05-03 13:08:05
BKG_000166,USR_000146,7138.64,,False,initial,2026-01-15 03:55:26
BKG_000167,USR_000146,4045.83,,False,initial,2026-01-19 18:28:29
BKG_000168,USR_000147,3499.74,,False,initial,2026-04-03 17:41:29
BKG_000169,USR_000147,2527.42,,False,initial,2026-04-18 12:01:23
BKG_000170,USR_000148,4585.79,,False,initial,2026-01-25 13:04:01
BKG_000171,USR_000148,11922.85,,False,initial,2026-05-17 17:52:06
BKG_000172,USR_000149,11940.02,,False,initial,2026-06-21 22:59:49
BKG_000173,USR_000150,3368.93,,False,initial,2026-04-16 07:14:40
BKG_000174,USR_000152,11496.54,,False,initial,2026-03-03 04:20:44
BKG_000175,USR_000152,2543.73,,False,initial,2026-06-17 10:26:05
BKG_000176,USR_000153,6425.44,,False,initial,2026-04-22 11:30:43
BKG_000177,USR_000154,11613.69,,False,initial,2026-02-11 10:35:46
BKG_000178,USR_000155,9859.49,10799.85,True,initial,2026-03-02 09:09:15
BKG_000179,USR_000157,6754.14,,False,initial,2026-06-28 08:25:12
BKG_000180,USR_000159,4236.34,12808.15,True,initial,2026-05-17 20:35:01
